Original Location,New Location,Site,Name,Side,Street,Direction,Cross Street 1,Cross Street 2,Approval Agency,Map Link,Streetview Link,Site Photo?,Comments,Take forward to Crowdsourcing?
407,72,A,E 7th St & S Alameda St,,,,,,,,Show at the intersection,,2-hr parking,"Yes, but place at the intersection in a general location for the crowdsourcing map"
410,75,C,E 2nd St & S San Pedro St,N,E 2nd Street,E,S San Pedro Street,S Central Avenue,LADOT,https://www.google.com/maps/d/u/0/edit?mid=zOHpquqdH9vM.k9-YSbe6qOEM,"https://www.google.com/maps/@34.0486037,-118.2406446,3a,75y,13.4h,68.64t/data=!3m6!1e1!3m4!1shs-aS7bIf5NekS7W6c1D_Q!2e0!7i13312!8i6656",Yes,,Yes
411,76,C,Boyd St & S San Pedro St,N,Boyd Street,E,S San Pedro Street,Omar Street,LADOT,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.kl55pYgaAVjU,"https://www.google.com/maps/@34.0465531,-118.2425231,3a,75y,103.42h,75.03t/data=!3m6!1e1!3m4!1svzSZAdFww5sp_BLd7ItJWA!2e0!7i13312!8i6656",,,Yes
412,77,B,Crocker St & E 6th St,E,Crocker Street,N,E 6th Street,E 5th Street,LADOT,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.krkRINGFhZRc,"https://www.google.com/maps/@34.0418361,-118.2442408,3a,75y,92.21h,69.8t/data=!3m6!1e1!3m4!1sCc_YbUR98yyomkWRDw18Jw!2e0!7i13312!8i6656",,,Yes
413,78,A,S Main St & E 5th St,E,S Main Street,N,E 5th Street,Winston Street,LADOT,https://www.google.com/maps/d/edit?mid=zOHpquqdH9vM.k8b68XkJTmvg,"https://www.google.com/maps/@34.0469261,-118.2482961,3a,75y,107.73h,66.27t/data=!3m6!1e1!3m4!1sYW6opnNtoBqFmUCFgXLKPQ!2e0!7i13312!8i6656",,Bike corral,Yes
414,79,A,Ord St & New High St,S,Ord Street,E,New High Street,N Spring Street,LADOT,https://www.google.com/maps/d/edit?mid=z6oVlfrE4DTA.kwW4-b7q183s&usp=sharing,"https://www.google.com/maps/@34.0600485,-118.2385004,3a,75y,160.63h,66.89t/data=!3m6!1e1!3m4!1sanvH5Ko-W7jZzGqZ-CZ0yw!2e0!7i13312!8i6656",,,"Yes, but higher impact on adjacent businesses than 79C"
414,79,C,New High St & Ord St,E,New High Street,N,Ord Street,Alpine Street,LADOT,https://www.google.com/maps/d/edit?mid=z6oVlfrE4DTA.kwW4-b7q183s&usp=sharing,"https://www.google.com/maps/@34.0601395,-118.2385896,3a,75y,48.22h,66.42t/data=!3m6!1e1!3m4!1sQ_V7yZDNJJtu6SLN42Q-YA!2e0!7i13312!8i6656",,,Yes
415,80,A,N Spring St & W College St,E,N Spring Street,S,W College Street,Alpine Street,LA Metro,https://www.google.com/maps/d/edit?mid=z6oVlfrE4DTA.k2P8nO96WFMo&usp=sharing,"https://www.google.com/maps/@34.0632526,-118.236254,3a,37.5y,44.89h,77.78t/data=!3m6!1e1!3m4!1sFrHBK0sHrA98LB79imV7qA!2e0!7i13312!8i6656",Yes,Ongoing construction,Yes
416,81,B,N Alameda St & Alpine St,E,N Alameda Street,N,Alpine Street,Bruno Street,LADOT,https://www.google.com/maps/d/edit?mid=z6oVlfrE4DTA.kuLQGPe_I_Jg&usp=sharing,"https://www.google.com/maps/@34.0620249,-118.2361084,3a,75y,75.35h,81.97t/data=!3m6!1e1!3m4!1sq8HqZV03SApNYkC5auzDJQ!2e0!7i13312!8i6656",,,"Yes, closest to activity"
,82,A,Union Station East Portal,E,Patsaouras Bus Plaza,N,Gateway Plaza,,LA Metro,https://www.google.com/maps/d/edit?mid=z6oVlfrE4DTA.kGMqzG6BOpcU&usp=sharing,"https://www.google.com/maps/@34.0556218,-118.2329249,3a,85.4y,70.86h,85.41t/data=!3m6!1e1!3m4!1spB9MDQjZThxpfmlEuR4I5w!2e0!7i13312!8i6656",Yes,On Union Station property in Patsaouras Bus Plaza; northeast pedestrian walkway; coordinate siting with Metro (requires a license agreement),Yes
,83,C,S Grand Avenue & W 3rd St,E,S Grand Avenue,N,W 3rd Street,W 2nd Street,LADOT,https://www.google.com/maps/d/edit?mid=z6oVlfrE4DTA.kPnHQj6-XN-I&usp=sharing,"https://www.google.com/maps/@34.0532222,-118.250932,3a,75y,88.89h,70.47t/data=!3m6!1e1!3m4!1sadIR2p3yqXdt8XRq9YtgbQ!2e0!7i13312!8i6656",,DASH stop may have to be moved.,Yes
,84,A,S Broadway & W 3rd St,W,S Broadway,S,W 3rd Street,W 4th Street,LADOT,"https://www.google.com/maps/@34.0507469,-118.2482521,3a,75y,287.31h,59.35t/data=!3m6!1e1!3m4!1spOA5n0ToDnWQk9v3-lx-ZQ!2e0!7i13312!8i6656!6m1!1e1","https://www.google.com/maps/@34.0507469,-118.2482521,3a,75y,287.31h,59.35t/data=!3m6!1e1!3m4!1spOA5n0ToDnWQk9v3-lx-ZQ!2e0!7i13312!8i6656",,"North of Grand Central Market; within pavement treatment

Relocation process for mailbox?",Yes
,85,A,S Hope St & W Olympic Blvd,E,S Hope Street,N,W Olympic Boulevard,W 9th Street,LABOE,"https://www.google.com/maps/@34.0441742,-118.2612812,3a,75y,173h,69.05t/data=!3m6!1e1!3m4!1sgyI3-OHOwAzB1-aIC4s1PA!2e0!7i13312!8i6656!6m1!1e1","https://www.google.com/maps/@34.0441742,-118.2612812,3a,75y,173h,69.05t/data=!3m6!1e1!3m4!1sgyI3-OHOwAzB1-aIC4s1PA!2e0!7i13312!8i6656!6m1!1e1",,,Yes
,86,A,S Broadway & W 9th St,W,S Broadway,S,W 9th Street,W Olympic Boulevard,LADOT,"https://www.google.com/maps/@34.0420138,-118.2563461,3a,75y,0.58h,60.15t/data=!3m6!1e1!3m4!1sdgQNlybGB3KnABVj3UGc1Q!2e0!7i13312!8i6656","https://www.google.com/maps/@34.0420138,-118.2563461,3a,75y,0.58h,60.15t/data=!3m6!1e1!3m4!1sdgQNlybGB3KnABVj3UGc1Q!2e0!7i13312!8i6656",,,Yes
,87,A,S Broadway & W 11th St,W,S Broadway,N,W 11th Street,W Olympic Boulevard,LADOT,"https://www.google.com/maps/@34.0401691,-118.2583279,3a,75y,353.7h,64.62t/data=!3m6!1e1!3m4!1sN-18G0r-BIE7tBOYHDupvw!2e0!7i13312!8i6656","https://www.google.com/maps/@34.0401691,-118.2583279,3a,75y,353.7h,64.62t/data=!3m6!1e1!3m4!1sN-18G0r-BIE7tBOYHDupvw!2e0!7i13312!8i6656",,May need to install additional K-71  bollards; southernmost planter should be removed. LADOT bike racks should be removed.,Yes
,88,B,N Broadway & W Cesar Chavez Ave,E,N Broadway,N,W Cesar Chavez Avenue,Ord Street,LADOT,"https://www.google.com/maps/@34.058894,-118.2400528,3a,75y,85.46h,79.4t/data=!3m6!1e1!3m4!1sRISr1ld96a1qbIn3GI0ryw!2e0!7i13312!8i6656!6m1!1e1","https://www.google.com/maps/@34.058894,-118.2400528,3a,75y,85.46h,79.4t/data=!3m6!1e1!3m4!1sRISr1ld96a1qbIn3GI0ryw!2e0!7i13312!8i6656!6m1!1e1",,"Utilize 2 parking spaces in front of #600.
Very active usage of building plaza; frequently utilized pedestrian loading zone.",Yes
,89,A,S San Pedro St & E 8th St,W,S San Pedro Street,S,E 8th Street,E 9th Street,LADOT,"https://www.google.com/maps/@34.0382658,-118.2493329,3a,75y,328.28h,80.52t/data=!3m6!1e1!3m4!1sU1aCYQkATd12AMS8ROnBEg!2e0!7i13312!8i6656","https://www.google.com/maps/@34.0382658,-118.2493329,3a,75y,328.28h,80.52t/data=!3m6!1e1!3m4!1sU1aCYQkATd12AMS8ROnBEg!2e0!7i13312!8i6656",,Loading zone directly in front of Flower Mall; frequency of loading/unloading along the street less than ideal for siting.,Yes
,90,A,S Maple St & E 9th St,W,S Maple Avenue,S,E 9th Street,E 10th Street,LADOT,"https://www.google.com/maps/@34.0393343,-118.2528848,3a,75y,301.33h,71.48t/data=!3m7!1e1!3m5!1sN0imFoYRy_Eq5Vsw4KvvMQ!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DN0imFoYRy_Eq5Vsw4KvvMQ%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D230.81583%26pitch%3D0!7i13312!8i6656","https://www.google.com/maps/@34.0393343,-118.2528848,3a,75y,301.33h,71.48t/data=!3m7!1e1!3m5!1sN0imFoYRy_Eq5Vsw4KvvMQ!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DN0imFoYRy_Eq5Vsw4KvvMQ%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D230.81583%26pitch%3D0!7i13312!8i6656",,Concrete pad at location is no longer in use as a bus stop.,"Yes, check that bus stop is no longer active"
